GO_ID	Term
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity
GO:0003984	acetolactate synthase activity
GO:0003985	acetyl-CoA C-acetyltransferase activity
GO:0003986	acetyl-CoA hydrolase activity
GO:0003987	acetate-CoA ligase activity
GO:0003988	acetyl-CoA C-acyltransferase activity
GO:0003989	acetyl-CoA carboxylase activity
GO:0003990	acetylcholinesterase activity
GO:0003991	acetylglutamate kinase activity
GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
GO:0003993	acid phosphatase activity
GO:0003994	aconitate hydratase activity
GO:0003995	acyl-CoA dehydrogenase activity
GO:0003996	acyl-CoA ligase activity
GO:0003997	acyl-CoA oxidase activity
GO:0003998	acylphosphatase activity
GO:0003999	adenine phosphoribosyltransferase activity
GO:0004000	adenosine deaminase activity
GO:0004001	adenosine kinase activity
GO:0004013	adenosylhomocysteinase activity
GO:0004014	adenosylmethionine decarboxylase activity
GO:0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
GO:0004016	adenylate cyclase activity
GO:0004017	adenylate kinase activity
GO:0004018	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity
GO:0004019	adenylosuccinate synthase activity
GO:0004020	adenylylsulfate kinase activity
GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity
GO:0004022	alcohol dehydrogenase (NAD+) activity
GO:0004023	alcohol dehydrogenase activity, metal ion-independent
GO:0004024	alcohol dehydrogenase activity, zinc-dependent
GO:0004025	alcohol dehydrogenase activity, iron-dependent
GO:0004026	alcohol O-acetyltransferase activity
GO:0004027	alcohol sulfotransferase activity
GO:0004028	3-chloroallyl aldehyde dehydrogenase activity
GO:0004029	aldehyde dehydrogenase (NAD+) activity
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity
GO:0004031	aldehyde oxidase activity
GO:0004032	alditol:NADP+ 1-oxidoreductase activity
GO:0004033	aldo-keto reductase (NADP) activity
GO:0004034	aldose 1-epimerase activity
GO:0004035	alkaline phosphatase activity
GO:0004037	allantoicase activity
GO:0004038	allantoinase activity
GO:0004039	allophanate hydrolase activity
GO:0004040	amidase activity
GO:0004042	acetyl-CoA:L-glutamate N-acetyltransferase activity
GO:0004043	L-aminoadipate-semialdehyde dehydrogenase activity
GO:0004044	amidophosphoribosyltransferase activity
GO:0004045	aminoacyl-tRNA hydrolase activity
GO:0004046	aminoacylase activity
GO:0004047	aminomethyltransferase activity
GO:0004048	anthranilate phosphoribosyltransferase activity
GO:0004049	anthranilate synthase activity
GO:0004051	arachidonate 5-lipoxygenase activity
GO:0004052	arachidonate 12(S)-lipoxygenase activity
GO:0004053	arginase activity
GO:0004054	arginine kinase activity
GO:0004055	argininosuccinate synthase activity
GO:0004056	argininosuccinate lyase activity
GO:0004057	arginyltransferase activity
GO:0004058	aromatic-L-amino-acid decarboxylase activity
GO:0004059	aralkylamine N-acetyltransferase activity
GO:0004060	arylamine N-acetyltransferase activity
GO:0004061	arylformamidase activity
GO:0004062	aryl sulfotransferase activity
GO:0004063	aryldialkylphosphatase activity
GO:0004064	arylesterase activity
GO:0004065	arylsulfatase activity
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity
GO:0004067	asparaginase activity
GO:0004068	aspartate 1-decarboxylase activity
GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
GO:0004070	aspartate carbamoyltransferase activity
GO:0004071	aspartate-ammonia ligase activity
GO:0004072	aspartate kinase activity
GO:0004073	aspartate-semialdehyde dehydrogenase activity
GO:0004074	biliverdin reductase (NAD(P)+) activity
GO:0004075	biotin carboxylase activity
GO:0004076	biotin synthase activity
GO:0004077	biotin-[acetyl-CoA-carboxylase] ligase activity
GO:0004078	biotin-[methylcrotonoyl-CoA-carboxylase] ligase activity
GO:0004079	biotin-[methylmalonyl-CoA-carboxytransferase] ligase activity
GO:0004080	biotin-[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase activity
GO:0004081	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
GO:0004082	bisphosphoglycerate mutase activity
GO:0004083	bisphosphoglycerate 2-phosphatase activity
GO:0004084	branched-chain-amino-acid transaminase activity
GO:0004085	butyryl-CoA dehydrogenase activity
GO:0004087	carbamoyl-phosphate synthase (ammonia) activity
GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GO:0004089	carbonate dehydratase activity
GO:0004090	carbonyl reductase (NADPH) activity
GO:0004092	carnitine O-acetyltransferase activity
GO:0004095	carnitine O-palmitoyltransferase activity
GO:0004096	catalase activity
GO:0004097	catechol oxidase activity
GO:0004098	cerebroside-sulfatase activity
GO:0004099	chitin deacetylase activity
GO:0004100	chitin synthase activity
GO:0004102	choline O-acetyltransferase activity
GO:0004103	choline kinase activity
GO:0004104	cholinesterase activity
GO:0004105	choline-phosphate cytidylyltransferase activity
GO:0004106	chorismate mutase activity
GO:0004107	chorismate synthase activity
GO:0004108	citrate (Si)-synthase activity
GO:0004109	coproporphyrinogen oxidase activity
GO:0004110	corticosteroid side-chain-isomerase activity
GO:0004111	creatine kinase activity
GO:0004112	cyclic-nucleotide phosphodiesterase activity
GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity
GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity
GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity
GO:0004117	calmodulin-dependent cyclic-nucleotide phosphodiesterase activity
GO:0004118	cGMP-stimulated cyclic-nucleotide phosphodiesterase activity
GO:0004119	cGMP-inhibited cyclic-nucleotide phosphodiesterase activity
GO:0004120	photoreceptor cyclic-nucleotide phosphodiesterase activity
GO:0004121	cystathionine beta-lyase activity
GO:0004122	cystathionine beta-synthase activity
GO:0004123	cystathionine gamma-lyase activity
GO:0004124	cysteine synthase activity
GO:0004125	L-seryl-tRNASec selenium transferase activity
GO:0004126	cytidine deaminase activity
GO:0004127	cytidylate kinase activity
GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H
GO:0004129	cytochrome-c oxidase activity
GO:0004130	cytochrome-c peroxidase activity
GO:0004131	cytosine deaminase activity
GO:0004132	dCMP deaminase activity
GO:0004133	glycogen debranching enzyme activity
GO:0004134	4-alpha-glucanotransferase activity
GO:0004135	amylo-alpha-1,6-glucosidase activity
GO:0004136	deoxyadenosine kinase activity
GO:0004137	deoxycytidine kinase activity
GO:0004138	deoxyguanosine kinase activity
GO:0004139	deoxyribose-phosphate aldolase activity
GO:0004140	dephospho-CoA kinase activity
GO:0004141	dethiobiotin synthase activity
GO:0004142	diacylglycerol cholinephosphotransferase activity
GO:0004143	diacylglycerol kinase activity
GO:0004144	diacylglycerol O-acyltransferase activity
GO:0004145	diamine N-acetyltransferase activity
GO:0004146	dihydrofolate reductase activity
GO:0004147	dihydrolipoamide branched chain acyltransferase activity
GO:0004148	dihydrolipoyl dehydrogenase activity
GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity
GO:0004150	dihydroneopterin aldolase activity
GO:0004151	dihydroorotase activity
GO:0004152	dihydroorotate dehydrogenase activity
GO:0004153	dihydropterin deaminase activity
GO:0004154	dihydropterin oxidase activity
GO:0004155	6,7-dihydropteridine reductase activity
GO:0004156	dihydropteroate synthase activity
GO:0004157	dihydropyrimidinase activity
GO:0004158	dihydroorotate oxidase activity
GO:0004159	dihydrouracil dehydrogenase (NAD+) activity
GO:0004160	dihydroxy-acid dehydratase activity
GO:0004161	dimethylallyltranstransferase activity
GO:0004162	dimethylnitrosamine demethylase activity
GO:0004163	diphosphomevalonate decarboxylase activity
GO:0004164	diphthine synthase activity
GO:0004165	dodecenoyl-CoA delta-isomerase activity
GO:0004166	dolichyl-phosphate alpha-N-acetylglucosaminyltransferase activity
GO:0004167	dopachrome isomerase activity
GO:0004168	dolichol kinase activity
GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity
GO:0004170	dUTP diphosphatase activity
GO:0004173	ecdysone O-acyltransferase activity
GO:0004174	electron-transferring-flavoprotein dehydrogenase activity
GO:0004175	endopeptidase activity
GO:0004176	ATP-dependent peptidase activity
GO:0004177	aminopeptidase activity
GO:0004180	carboxypeptidase activity
GO:0004181	metallocarboxypeptidase activity
GO:0004185	serine-type carboxypeptidase activity
GO:0004190	aspartic-type endopeptidase activity
GO:0004197	cysteine-type endopeptidase activity
GO:0004198	calcium-dependent cysteine-type endopeptidase activity
GO:0004222	metalloendopeptidase activity
GO:0004252	serine-type endopeptidase activity
GO:0004298	threonine-type endopeptidase activity
GO:0004300	enoyl-CoA hydratase activity
GO:0004301	epoxide hydrolase activity
GO:0004303	estradiol 17-beta-dehydrogenase activity
GO:0004304	estrone sulfotransferase activity
GO:0004305	ethanolamine kinase activity
GO:0004306	ethanolamine-phosphate cytidylyltransferase activity
GO:0004307	ethanolaminephosphotransferase activity
GO:0004308	exo-alpha-sialidase activity
GO:0004309	exopolyphosphatase activity
GO:0004310	farnesyl-diphosphate farnesyltransferase activity
GO:0004311	farnesyltranstransferase activity
GO:0004312	fatty acid synthase activity
GO:0004313	[acyl-carrier-protein] S-acetyltransferase activity
GO:0004314	[acyl-carrier-protein] S-malonyltransferase activity
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
GO:0004317	3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity
GO:0004318	enoyl-[acyl-carrier-protein] reductase (NADH) activity
GO:0004319	enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity
GO:0004320	oleoyl-[acyl-carrier-protein] hydrolase activity
GO:0004321	fatty-acyl-CoA synthase activity
GO:0004322	ferroxidase activity
GO:0004324	ferredoxin-NADP+ reductase activity
GO:0004325	ferrochelatase activity
GO:0004326	tetrahydrofolylpolyglutamate synthase activity
GO:0004328	formamidase activity
GO:0004329	formate-tetrahydrofolate ligase activity
GO:0004331	fructose-2,6-bisphosphate 2-phosphatase activity
GO:0004332	fructose-bisphosphate aldolase activity
GO:0004333	fumarate hydratase activity
GO:0004334	fumarylacetoacetase activity
GO:0004335	galactokinase activity
GO:0004336	galactosylceramidase activity
GO:0004337	geranyltranstransferase activity
GO:0004338	glucan exo-1,3-beta-glucosidase activity
GO:0004339	glucan 1,4-alpha-glucosidase activity
GO:0004340	glucokinase activity
GO:0004341	gluconolactonase activity
GO:0004342	glucosamine-6-phosphate deaminase activity
GO:0004343	glucosamine 6-phosphate N-acetyltransferase activity
GO:0004344	glucose dehydrogenase activity
GO:0004345	glucose-6-phosphate dehydrogenase activity
GO:0004346	glucose-6-phosphatase activity
GO:0004347	glucose-6-phosphate isomerase activity
GO:0004348	glucosylceramidase activity
GO:0004349	glutamate 5-kinase activity
GO:0004350	glutamate-5-semialdehyde dehydrogenase activity
GO:0004351	glutamate decarboxylase activity
GO:0004352	glutamate dehydrogenase (NAD+) activity
GO:0004353	glutamate dehydrogenase [NAD(P)+] activity
GO:0004354	glutamate dehydrogenase (NADP+) activity
GO:0004355	glutamate synthase (NADPH) activity
GO:0004356	glutamate-ammonia ligase activity
GO:0004357	glutamate-cysteine ligase activity
GO:0004358	glutamate N-acetyltransferase activity
GO:0004359	glutaminase activity
GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
GO:0004361	glutaryl-CoA dehydrogenase activity
GO:0004362	glutathione-disulfide reductase activity
GO:0004363	glutathione synthase activity
GO:0004364	glutathione transferase activity
GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GO:0004366	glycerol-3-phosphate O-acyltransferase activity
GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity
GO:0004368	glycerol-3-phosphate dehydrogenase (quinone) activity
GO:0004369	glycerol-3-phosphate oxidase activity
GO:0004370	glycerol kinase activity
GO:0004371	glycerone kinase activity
GO:0004372	glycine hydroxymethyltransferase activity
GO:0004373	glycogen (starch) synthase activity
GO:0004375	glycine dehydrogenase (decarboxylating) activity
GO:0004376	glycolipid mannosyltransferase activity
GO:0004377	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
GO:0004378	GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity
GO:0004379	glycylpeptide N-tetradecanoyltransferase activity
GO:0004380	glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity
GO:0004381	fucosylgalactoside 3-alpha-galactosyltransferase activity
GO:0004382	guanosine-diphosphatase activity
GO:0004383	guanylate cyclase activity
GO:0004385	guanylate kinase activity
GO:0004386	helicase activity
GO:0004392	heme oxygenase (decyclizing) activity
GO:0004394	heparan sulfate 2-O-sulfotransferase activity
GO:0004395	hexaprenyldihydroxybenzoate methyltransferase activity
GO:0004396	hexokinase activity
GO:0004397	histidine ammonia-lyase activity
GO:0004398	histidine decarboxylase activity
GO:0004399	histidinol dehydrogenase activity
GO:0004400	histidinol-phosphate transaminase activity
GO:0004401	histidinol-phosphatase activity
GO:0004402	histone acetyltransferase activity
GO:0004407	histone deacetylase activity
GO:0004408	holocytochrome-c synthase activity
GO:0004409	homoaconitate hydratase activity
GO:0004410	homocitrate synthase activity
GO:0004411	homogentisate 1,2-dioxygenase activity
GO:0004412	homoserine dehydrogenase activity
GO:0004413	homoserine kinase activity
GO:0004414	homoserine O-acetyltransferase activity
GO:0004415	hyalurononglucosaminidase activity
GO:0004416	hydroxyacylglutathione hydrolase activity
GO:0004417	hydroxyethylthiazole kinase activity
GO:0004418	hydroxymethylbilane synthase activity
GO:0004419	hydroxymethylglutaryl-CoA lyase activity
GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity
GO:0004421	hydroxymethylglutaryl-CoA synthase activity
GO:0004422	hypoxanthine phosphoribosyltransferase activity
GO:0004423	iduronate-2-sulfatase activity
GO:0004424	imidazoleglycerol-phosphate dehydratase activity
GO:0004425	indole-3-glycerol-phosphate synthase activity
GO:0004427	inorganic diphosphatase activity
GO:0004430	1-phosphatidylinositol 4-kinase activity
GO:0004435	phosphatidylinositol phospholipase C activity
GO:0004436	phosphatidylinositol diacylglycerol-lyase activity
GO:0004438	phosphatidylinositol-3-phosphatase activity
GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
GO:0004441	inositol-1,4-bisphosphate 1-phosphatase activity
GO:0004445	inositol-polyphosphate 5-phosphatase activity
GO:0004446	inositol-hexakisphosphate phosphatase activity
GO:0004447	iodide peroxidase activity
GO:0004448	isocitrate dehydrogenase activity
GO:0004449	isocitrate dehydrogenase (NAD+) activity
GO:0004450	isocitrate dehydrogenase (NADP+) activity
GO:0004451	isocitrate lyase activity
GO:0004452	isopentenyl-diphosphate delta-isomerase activity
GO:0004453	juvenile-hormone esterase activity
GO:0004454	ketohexokinase activity
GO:0004455	ketol-acid reductoisomerase activity
GO:0004456	phosphogluconate dehydratase activity
GO:0004457	lactate dehydrogenase activity
GO:0004458	D-lactate dehydrogenase (cytochrome) activity
GO:0004459	L-lactate dehydrogenase activity
GO:0004460	L-lactate dehydrogenase (cytochrome) activity
GO:0004461	lactose synthase activity
GO:0004462	lactoylglutathione lyase activity
GO:0004463	leukotriene-A4 hydrolase activity
GO:0004464	leukotriene-C4 synthase activity
GO:0004465	lipoprotein lipase activity
GO:0004466	long-chain-acyl-CoA dehydrogenase activity
GO:0004467	long-chain fatty acid-CoA ligase activity
GO:0004468	lysine N-acetyltransferase activity, acting on acetyl phosphate as donor
GO:0004470	malic enzyme activity
GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0004473	malate dehydrogenase (decarboxylating) (NADP+) activity
GO:0004474	malate synthase activity
GO:0004475	mannose-1-phosphate guanylyltransferase activity
GO:0004476	mannose-6-phosphate isomerase activity
GO:0004477	methenyltetrahydrofolate cyclohydrolase activity
GO:0004478	methionine adenosyltransferase activity
GO:0004479	methionyl-tRNA formyltransferase activity
GO:0004481	methylene-fatty-acyl-phospholipid synthase activity
GO:0004482	mRNA (guanine-N7-)-methyltransferase activity
GO:0004483	mRNA (nucleoside-2'-O-)-methyltransferase activity
GO:0004484	mRNA guanylyltransferase activity
GO:0004485	methylcrotonoyl-CoA carboxylase activity
GO:0004486	methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity
GO:0004487	methylenetetrahydrofolate dehydrogenase (NAD+) activity
GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity
GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity
GO:0004490	methylglutaconyl-CoA hydratase activity
GO:0004491	methylmalonate-semialdehyde dehydrogenase (acylating) activity
GO:0004492	methylmalonyl-CoA decarboxylase activity
GO:0004493	methylmalonyl-CoA epimerase activity
GO:0004494	methylmalonyl-CoA mutase activity
GO:0004495	mevaldate reductase activity
GO:0004496	mevalonate kinase activity
GO:0004497	monooxygenase activity
GO:0004498	calcidiol 1-monooxygenase activity
GO:0004499	N,N-dimethylaniline monooxygenase activity
GO:0004500	dopamine beta-monooxygenase activity
GO:0004501	ecdysone 20-monooxygenase activity
GO:0004502	kynurenine 3-monooxygenase activity
GO:0004503	monophenol monooxygenase activity
GO:0004504	peptidylglycine monooxygenase activity
GO:0004505	phenylalanine 4-monooxygenase activity
GO:0004506	squalene monooxygenase activity
GO:0004507	steroid 11-beta-monooxygenase activity
GO:0004508	steroid 17-alpha-monooxygenase activity
GO:0004509	steroid 21-monooxygenase activity
GO:0004510	tryptophan 5-monooxygenase activity
GO:0004511	tyrosine 3-monooxygenase activity
GO:0004512	inositol-3-phosphate synthase activity
GO:0004513	neolactotetraosylceramide alpha-2,3-sialyltransferase activity
GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0004515	nicotinate-nucleotide adenylyltransferase activity
GO:0004516	nicotinate phosphoribosyltransferase activity
GO:0004517	nitric-oxide synthase activity
GO:0004518	nuclease activity
GO:0004519	endonuclease activity
GO:0004520	endodeoxyribonuclease activity
GO:0004521	endoribonuclease activity
GO:0004522	ribonuclease A activity
GO:0004523	RNA-DNA hybrid ribonuclease activity
GO:0004525	ribonuclease III activity
GO:0004526	ribonuclease P activity
GO:0004527	exonuclease activity
GO:0004528	phosphodiesterase I activity
GO:0004529	exodeoxyribonuclease activity
GO:0004530	deoxyribonuclease I activity
GO:0004531	deoxyribonuclease II activity
GO:0004532	exoribonuclease activity
GO:0004533	exoribonuclease H activity
GO:0004534	5'-3' exoribonuclease activity
GO:0004535	poly(A)-specific ribonuclease activity
GO:0004536	deoxyribonuclease activity
GO:0004540	ribonuclease activity
GO:0004549	tRNA-specific ribonuclease activity
GO:0004550	nucleoside diphosphate kinase activity
GO:0004551	nucleotide diphosphatase activity
GO:0004552	octanol dehydrogenase activity
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0004555	alpha,alpha-trehalase activity
GO:0004556	alpha-amylase activity
GO:0004557	alpha-galactosidase activity
GO:0004558	alpha-1,4-glucosidase activity
GO:0004559	alpha-mannosidase activity
GO:0004560	alpha-L-fucosidase activity
GO:0004561	alpha-N-acetylglucosaminidase activity
GO:0004563	beta-N-acetylhexosaminidase activity
GO:0004564	beta-fructofuranosidase activity
GO:0004565	beta-galactosidase activity
GO:0004566	beta-glucuronidase activity
GO:0004567	beta-mannosidase activity
GO:0004568	chitinase activity
GO:0004569	glycoprotein endo-alpha-1,2-mannosidase activity
GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
GO:0004572	mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity
GO:0004573	mannosyl-oligosaccharide glucosidase activity
GO:0004574	oligo-1,6-glucosidase activity
GO:0004575	sucrose alpha-glucosidase activity
GO:0004576	oligosaccharyl transferase activity
GO:0004577	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity
GO:0004578	chitobiosyldiphosphodolichol beta-mannosyltransferase activity
GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
GO:0004581	dolichyl-phosphate beta-glucosyltransferase activity
GO:0004582	dolichyl-phosphate beta-D-mannosyltransferase activity
GO:0004583	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity
GO:0004585	ornithine carbamoyltransferase activity
GO:0004586	ornithine decarboxylase activity
GO:0004587	ornithine-oxo-acid transaminase activity
GO:0004588	orotate phosphoribosyltransferase activity
GO:0004589	orotate reductase (NADH) activity
GO:0004590	orotidine-5'-phosphate decarboxylase activity
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity
GO:0004592	pantoate-beta-alanine ligase activity
GO:0004593	pantothenase activity
GO:0004594	pantothenate kinase activity
GO:0004595	pantetheine-phosphate adenylyltransferase activity
GO:0004596	peptide alpha-N-acetyltransferase activity
GO:0004597	peptide-aspartate beta-dioxygenase activity
GO:0004598	peptidylamidoglycolate lyase activity
GO:0004601	peroxidase activity
GO:0004602	glutathione peroxidase activity
GO:0004603	phenylethanolamine N-methyltransferase activity
GO:0004604	phosphoadenylyl-sulfate reductase (thioredoxin) activity
GO:0004605	phosphatidate cytidylyltransferase activity
GO:0004607	phosphatidylcholine-sterol O-acyltransferase activity
GO:0004608	phosphatidylethanolamine N-methyltransferase activity
GO:0004609	phosphatidylserine decarboxylase activity
GO:0004610	phosphoacetylglucosamine mutase activity
GO:0004611	phosphoenolpyruvate carboxykinase activity
GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity
GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity
GO:0004614	phosphoglucomutase activity
GO:0004615	phosphomannomutase activity
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity
GO:0004617	phosphoglycerate dehydrogenase activity
GO:0004618	phosphoglycerate kinase activity
GO:0004619	phosphoglycerate mutase activity
GO:0004620	phospholipase activity
GO:0004621	glycosylphosphatidylinositol phospholipase D activity
GO:0004622	lysophospholipase activity
GO:0004623	phospholipase A2 activity
GO:0004629	phospholipase C activity
GO:0004630	phospholipase D activity
GO:0004631	phosphomevalonate kinase activity
GO:0004632	phosphopantothenate--cysteine ligase activity
GO:0004633	phosphopantothenoylcysteine decarboxylase activity
GO:0004634	phosphopyruvate hydratase activity
GO:0004635	phosphoribosyl-AMP cyclohydrolase activity
GO:0004636	phosphoribosyl-ATP diphosphatase activity
GO:0004637	phosphoribosylamine-glycine ligase activity
GO:0004638	phosphoribosylaminoimidazole carboxylase activity
GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
GO:0004640	phosphoribosylanthranilate isomerase activity
GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity
GO:0004642	phosphoribosylformylglycinamidine synthase activity
GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
GO:0004644	phosphoribosylglycinamide formyltransferase activity
GO:0004645	1,4-alpha-oligoglucan phosphorylase activity
GO:0004647	phosphoserine phosphatase activity
GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity
GO:0004649	poly(ADP-ribose) glycohydrolase activity
GO:0004650	polygalacturonase activity
GO:0004651	polynucleotide 5'-phosphatase activity
GO:0004652	polynucleotide adenylyltransferase activity
GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity
GO:0004654	polyribonucleotide nucleotidyltransferase activity
GO:0004655	porphobilinogen synthase activity
GO:0004656	procollagen-proline 4-dioxygenase activity
GO:0004657	proline dehydrogenase activity
GO:0004658	propionyl-CoA carboxylase activity
GO:0004659	prenyltransferase activity
GO:0004660	protein farnesyltransferase activity
GO:0004661	protein geranylgeranyltransferase activity
GO:0004662	CAAX-protein geranylgeranyltransferase activity
GO:0004663	Rab geranylgeranyltransferase activity
GO:0004664	prephenate dehydratase activity
GO:0004665	prephenate dehydrogenase (NADP+) activity
GO:0004666	prostaglandin-endoperoxide synthase activity
GO:0004667	prostaglandin-D synthase activity
GO:0004668	protein-arginine deiminase activity
GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
GO:0004672	protein kinase activity
GO:0004673	protein histidine kinase activity
GO:0004674	protein serine/threonine kinase activity
GO:0004675	transmembrane receptor protein serine/threonine kinase activity
GO:0004676	3-phosphoinositide-dependent protein kinase activity
GO:0004677	DNA-dependent protein kinase activity
GO:0004679	AMP-activated protein kinase activity
GO:0004683	calmodulin-dependent protein kinase activity
GO:0004686	elongation factor-2 kinase activity
GO:0004687	myosin light chain kinase activity
GO:0004689	phosphorylase kinase activity
GO:0004690	cyclic nucleotide-dependent protein kinase activity
GO:0004691	cAMP-dependent protein kinase activity
GO:0004692	cGMP-dependent protein kinase activity
GO:0004693	cyclin-dependent protein serine/threonine kinase activity
GO:0004694	eukaryotic translation initiation factor 2alpha kinase activity
GO:0004697	protein kinase C activity
GO:0004698	calcium-dependent protein kinase C activity
GO:0004699	calcium-independent protein kinase C activity
GO:0004703	G protein-coupled receptor kinase activity
GO:0004704	NF-kappaB-inducing kinase activity
GO:0004705	JUN kinase activity
GO:0004706	JUN kinase kinase kinase activity
GO:0004707	MAP kinase activity
GO:0004708	MAP kinase kinase activity
GO:0004709	MAP kinase kinase kinase activity
GO:0004711	ribosomal protein S6 kinase activity
GO:0004712	protein serine/threonine/tyrosine kinase activity
GO:0004713	protein tyrosine kinase activity
GO:0004714	transmembrane receptor protein tyrosine kinase activity
GO:0004715	non-membrane spanning protein tyrosine kinase activity
GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
GO:0004720	protein-lysine 6-oxidase activity
GO:0004721	phosphoprotein phosphatase activity
GO:0004722	protein serine/threonine phosphatase activity
GO:0004723	calcium-dependent protein serine/threonine phosphatase activity
GO:0004724	magnesium-dependent protein serine/threonine phosphatase activity
GO:0004725	protein tyrosine phosphatase activity
GO:0004726	non-membrane spanning protein tyrosine phosphatase activity
GO:0004727	prenylated protein tyrosine phosphatase activity
GO:0004729	oxygen-dependent protoporphyrinogen oxidase activity
GO:0004730	pseudouridylate synthase activity
GO:0004731	purine-nucleoside phosphorylase activity
GO:0004732	pyridoxal oxidase activity
GO:0004733	pyridoxamine-phosphate oxidase activity
GO:0004734	pyrimidodiazepine synthase activity
GO:0004735	pyrroline-5-carboxylate reductase activity
GO:0004736	pyruvate carboxylase activity
GO:0004737	pyruvate decarboxylase activity
GO:0004738	pyruvate dehydrogenase activity
GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity
GO:0004740	pyruvate dehydrogenase (acetyl-transferring) kinase activity
GO:0004741	[pyruvate dehydrogenase (lipoamide)] phosphatase activity
GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity
GO:0004743	pyruvate kinase activity
GO:0004744	retinal isomerase activity
GO:0004745	retinol dehydrogenase activity
GO:0004746	riboflavin synthase activity
GO:0004747	ribokinase activity
GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
GO:0004749	ribose phosphate diphosphokinase activity
GO:0004750	ribulose-phosphate 3-epimerase activity
GO:0004751	ribose-5-phosphate isomerase activity
GO:0004753	saccharopine dehydrogenase activity
GO:0004754	saccharopine dehydrogenase (NAD+, L-lysine-forming) activity
GO:0004755	saccharopine dehydrogenase (NADP+, L-glutamate-forming) activity
GO:0004756	selenide, water dikinase activity
GO:0004757	sepiapterin reductase activity
GO:0004758	serine C-palmitoyltransferase activity
GO:0004760	serine-pyruvate transaminase activity
GO:0004764	shikimate 3-dehydrogenase (NADP+) activity
GO:0004765	shikimate kinase activity
GO:0004766	spermidine synthase activity
GO:0004767	sphingomyelin phosphodiesterase activity
GO:0004768	stearoyl-CoA 9-desaturase activity
GO:0004769	steroid delta-isomerase activity
GO:0004771	sterol esterase activity
GO:0004772	sterol O-acyltransferase activity
GO:0004773	steryl-sulfatase activity
GO:0004774	succinate-CoA ligase activity
